parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
1,163836,165509,159118,158737,164581,153941,155678,160810,161830,165346,153941.00,160938.60,165509.00,6268.75,159240.25,171777.75,
2,165999,165510,160602,158882,164570,160719,163058,161177,163521,166601,158882.00,163063.90,166601.00,4557.57,162043.43,171158.57,
3,164580,164729,157968,158383,164357,152301,162251,158642,162987,164920,152301.00,161111.80,164920.00,5782.43,159137.57,170702.43,
4,160115,165454,159951,155290,164278,150607,156455,158486,160793,163740,150607.00,159516.90,165454.00,7524.80,157929.20,172978.80,
5,163553,163055,156708,154552,162404,150049,161435,156642,160650,164784,150049.00,159383.20,164784.00,7380.81,157403.19,172164.81,
6,160789,161732,156335,154262,164210,149182,155628,157400,160562,168549,149182.00,158864.90,168549.00,11297.61,157251.39,179846.61,
7,161550,161587,156021,154057,165622,147998,154746,157212,162804,171334,147998.00,159293.10,171334.00,13954.43,157379.57,185288.43,
8,159890,159971,154339,152898,165300,148883,155678,156120,152687,168465,148883.00,157423.10,168465.00,12790.39,155674.61,181255.39,
9,158223,160385,154125,154959,163298,149533,153388,156058,166203,164680,149533.00,158085.20,166203.00,9786.31,156416.69,175989.31,
10,158599,158327,161928,152719,161788,150639,153880,156615,142641,165770,142641.00,156290.60,165770.00,11763.54,154006.46,177533.54,
11,156854,157393,161703,152311,162118,147833,152381,157078,142952,165178,142952.00,155580.10,165178.00,11887.54,153290.46,177065.54,
12,156106,157651,163416,150767,161804,146226,151505,159179,168003,164348,146226.00,157900.50,168003.00,12024.77,155978.23,180027.77,
13,156323,161124,161821,150588,158678,151129,151139,159504,142269,161483,142269.00,155405.80,161821.00,9145.32,152675.68,170966.32,
14,156826,158500,158423,150832,157431,152103,151281,153034,145561,166981,145561.00,155097.20,166981.00,13409.53,153571.47,180390.53,
15,156309,160483,155585,149543,172765,149717,159427,154084,139189,165521,139189.00,156262.30,172765.00,18924.34,153840.66,191689.34,
