parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
0,296659,407050,255633,217400,373941,367396,518877,473785,430954,514525,217400.00,385622.00,518877.00,158614.38,360262.62,677491.38,
25,296659,407050,255633,217400,373941,367396,518877,473785,430954,514525,217400.00,385622.00,518877.00,158614.38,360262.62,677491.38,
50,296659,407050,255633,217400,373941,367396,518877,473785,430954,514525,217400.00,385622.00,518877.00,158614.38,360262.62,677491.38,
75,296659,407050,255633,217400,373941,367396,518877,473785,430954,514525,217400.00,385622.00,518877.00,158614.38,360262.62,677491.38,
100,296659,407050,255633,217400,373941,367396,518877,473785,430954,514525,217400.00,385622.00,518877.00,158614.38,360262.62,677491.38,
125,296659,407050,255633,217400,373941,367396,518877,473785,430954,514525,217400.00,385622.00,518877.00,158614.38,360262.62,677491.38,
150,296659,407050,255633,217400,376520,367396,518877,473785,430954,514525,217400.00,385879.90,518877.00,158354.65,360522.35,677231.65,
175,296659,406991,255633,217400,376520,367396,518877,473785,430954,514525,217400.00,385874.00,518877.00,158359.28,360517.72,677236.28,
200,296659,406991,255633,217400,376520,367396,518877,473785,430954,514525,217400.00,385874.00,518877.00,158359.28,360517.72,677236.28,
225,296659,400432,255633,217400,376520,367396,518877,473785,430954,514525,217400.00,385218.10,518877.00,158888.39,359988.61,677765.39,
250,296659,400432,255633,217400,376520,367396,518877,473785,428552,514525,217400.00,384977.90,518877.00,159038.03,359838.97,677915.03,
275,296659,400432,255633,217400,376520,367318,518877,473785,428552,513560,217400.00,384873.60,518877.00,159049.54,359827.46,677926.54,
300,281154,400432,255633,217400,383109,367230,518877,473785,428552,513560,217400.00,383973.20,518877.00,158417.50,360459.50,677294.50,
310,281154,400432,255633,217400,383109,367230,518877,473785,428552,513560,217400.00,383973.20,518877.00,158417.50,360459.50,677294.50,
320,281154,400432,255633,217400,383109,366913,518877,473785,428552,513560,217400.00,383941.50,518877.00,158451.25,360425.75,677328.25,
325,281154,400498,255633,217400,383109,366913,518877,473785,428552,512693,217400.00,383861.40,518877.00,158449.26,360427.74,677326.26,
330,281154,400498,255633,217400,383109,366913,518877,472295,421162,512693,217400.00,382973.40,518877.00,158983.48,359893.52,677860.48,
340,281154,400498,255633,217400,383109,366626,518877,472295,421162,511435,217400.00,382818.90,518877.00,159019.98,359857.02,677896.98,
350,281154,397525,255633,217400,383109,366626,518877,472295,421162,511435,217400.00,382521.60,518877.00,159268.78,359608.22,678145.78,
360,281154,397525,255633,217400,383109,366626,518877,472295,421162,511435,217400.00,382521.60,518877.00,159268.78,359608.22,678145.78,
370,281154,397525,255406,217400,383109,364989,518877,407350,421162,511435,217400.00,375840.70,518877.00,163022.83,355854.17,681899.83,
375,281154,397525,255406,217400,383109,364989,518877,407350,421162,511435,217400.00,375840.70,518877.00,163022.83,355854.17,681899.83,
380,281154,397525,255406,217400,383109,364989,518877,407350,421162,511435,217400.00,375840.70,518877.00,163022.83,355854.17,681899.83,
390,281154,398022,255406,217400,383109,364989,518877,407350,421162,511435,217400.00,375890.40,518877.00,162981.81,355895.19,681858.81,
400,281154,398022,255406,217400,383109,364989,531275,407350,421162,511435,217400.00,377130.20,531275.00,173159.43,358115.57,704434.43,
410,281154,398022,255406,217400,383109,364989,531275,407350,421162,502286,217400.00,376215.30,531275.00,173302.70,357972.30,704577.70,
420,281154,398022,255406,217400,383109,364989,531275,407350,421162,502286,217400.00,376215.30,531275.00,173302.70,357972.30,704577.70,
425,281154,398022,255406,217400,383109,364989,531275,407350,421162,502286,217400.00,376215.30,531275.00,173302.70,357972.30,704577.70,
430,281154,398022,255406,217400,383109,364989,531275,407350,421162,502286,217400.00,376215.30,531275.00,173302.70,357972.30,704577.70,
440,281154,398022,255406,217400,383109,364989,531275,407350,421162,502286,217400.00,376215.30,531275.00,173302.70,357972.30,704577.70,
450,281154,398022,255406,217400,383109,364989,531275,407350,421162,502286,217400.00,376215.30,531275.00,173302.70,357972.30,704577.70,
